SubmarketCode,N_prop,Vacancy, Rent , Inventory , Demand , UnadjustedRent , Average_BLDG_Size  ,AsOf
LOG-LOSA-49,37,4.18%, $6.98 ," 4,931,810 "," 4,725,870 ", $5.97 ," 133,292 ",15Q4
LOG-LOSA-50,70,0.34%, $9.08 ," 7,979,936 "," 7,953,097 ", $8.20 ," 113,999 ",15Q4
LOG-LOSA-51,22,10.62%, $10.26 ," 2,042,688 "," 1,825,777 ", $10.06 ," 92,849 ",15Q4
LOG-LOSA-52,2,0.00%, $9.25 ," 158,125 "," 158,125 ", $9.60 ," 79,063 ",15Q4
LOG-LOSA-53,16,0.00%, $9.93 ," 1,363,597 "," 1,363,597 ", $9.00 ," 85,225 ",15Q4
LOG-LOSA-54,16,2.92%, $6.68 ," 1,027,350 "," 997,350 ", $5.65 ," 64,209 ",15Q4
LOG-LOSA-56,4,0.00%, $6.79 ," 235,473 "," 235,473 ", NULL ," 58,868 ",15Q4
LOG-LOSA-57,13,0.00%, $6.72 ," 1,171,556 "," 1,171,556 ", NULL ," 90,120 ",15Q4
LOG-LOSA-58,19,6.17%, $7.86 ," 1,579,094 "," 1,481,709 ", $6.60 ," 83,110 ",15Q4
LOG-LOSA-59,15,0.00%, $8.92 ," 1,135,612 "," 1,135,612 ", $9.35 ," 75,707 ",15Q4
LOG-LOSA-60,15,8.14%, $8.03 ," 1,174,444 "," 1,078,872 ", $8.05 ," 78,296 ",15Q4
LOG-LOSA-62,12,4.24%, $18.37 ," 638,127 "," 611,062 ", $20.12 ," 53,177 ",15Q4
LOG-LOSA-63,22,1.93%, $9.01 ," 2,307,581 "," 2,262,981 ", $10.75 ," 104,890 ",15Q4
LOG-LOSA-64,118,0.10%, $8.85 ," 8,336,927 "," 8,328,327 ", $8.83 ," 70,652 ",15Q4
LOG-LOSA-66,3,0.00%, $10.48 ," 202,734 "," 202,734 ", $8.52 ," 67,578 ",15Q4
LOG-LOSA-67,11,1.82%, $7.25 ," 1,019,005 "," 1,000,510 ", $8.11 ," 92,637 ",15Q4
LOG-LOSA-69,4,0.00%, $8.03 ," 179,675 "," 179,675 ", NULL ," 44,919 ",15Q4
LOG-LOSA-70,73,0.97%, $6.99 ," 7,975,191 "," 7,897,756 ", $6.84 ," 109,249 ",15Q4
LOG-LOSA-71,2,0.00%, $-   ," 191,739 "," 191,739 ", NULL ," 95,870 ",15Q4
LOG-LOSA-72,166,2.71%, $6.98 ," 22,441,252 "," 21,832,264 ", $6.66 ," 135,188 ",15Q4
LOG-LOSA-73,3,0.00%, $7.25 ," 129,000 "," 129,000 ", NULL ," 43,000 ",15Q4
LOG-LOSA-74,18,3.03%, $7.83 ," 3,061,331 "," 2,968,629 ", $7.56 ," 170,074 ",15Q4
LOG-LOSA-75,88,0.54%, $7.14 ," 16,683,067 "," 16,592,319 ", $6.55 ," 189,580 ",15Q4
LOG-LOSA-76,50,0.00%, $8.22 ," 5,494,210 "," 5,494,210 ", $7.37 ," 109,884 ",15Q4
LOG-LOSA-77,36,9.56%, $8.99 ," 3,503,148 "," 3,168,180 ", $15.59 ," 97,310 ",15Q4
LOG-LOSA-78,59,4.86%, $6.80 ," 5,582,183 "," 5,311,102 ", $7.20 ," 94,613 ",15Q4
LOG-LOSA-79,122,3.02%, $8.89 ," 14,509,976 "," 14,071,390 ", $8.17 ," 118,934 ",15Q4
LOG-LOSA-81,58,0.29%, $7.89 ," 7,725,201 "," 7,703,173 ", $8.14 ," 133,193 ",15Q4
LOG-LOSA-82,21,0.00%, $8.11 ," 1,525,047 "," 1,525,047 ", $9.34 ," 72,621 ",15Q4
LOG-LOSA-83,99,2.54%, $8.03 ," 14,862,476 "," 14,485,494 ", $8.52 ," 150,126 ",15Q4
LOG-LOSA-84,2,0.00%, $9.66 ," 184,003 "," 184,003 ", $8.04 ," 92,002 ",15Q4
LOG-LOSA-85,31,0.93%, $12.65 ," 1,371,889 "," 1,359,145 ", $13.91 ," 44,254 ",15Q4
LOG-LOSA-86,8,0.00%, $11.17 ," 868,986 "," 868,986 ", $13.26 ," 108,623 ",15Q4
LOG-LOSA-87,13,12.81%, $9.97 ," 644,128 "," 561,642 ", $9.36 ," 49,548 ",15Q4
LOG-LOSA-88,19,0.64%, $8.61 ," 1,556,785 "," 1,546,785 ", $8.06 ," 81,936 ",15Q4
LOG-LOSA-90,20,2.64%, $8.70 ," 2,715,467 "," 2,643,714 ", $6.55 ," 135,773 ",15Q4
LOG-LOSA-91,8,0.00%, $12.02 ," 363,416 "," 363,416 ", $13.31 ," 45,427 ",15Q4
